LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
RP6GYZAN7J,61,56851,227191,787,109,4,11.5,12,0.72,PhD,Part-time,Divorced,No,Yes,Education,No,0
X2JESWSTHV,20,100297,25585,614,84,2,8.89,12,0.62,PhD,Self-employed,Single,Yes,No,Home,No,1
8V6PSQZOLJ,51,51160,237602,619,3,2,3.1,24,0.42,Bachelor's,Self-employed,Married,Yes,No,Business,Yes,0
Y8NOCHU7A3,29,112052,25309,328,116,4,6.79,12,0.3,Master's,Full-time,Divorced,Yes,No,Business,No,0
WD5UAWMQFB,46,61484,120672,407,90,1,17.82,48,0.68,Bachelor's,Full-time,Single,No,No,Other,Yes,0
0V2ODXTIQ4,25,84642,138541,465,14,3,7.55,48,0.33,Master's,Unemployed,Single,No,Yes,Home,Yes,0
KMM9BCPLYD,54,69967,109309,714,42,3,3.89,24,0.12,Master's,Self-employed,Divorced,Yes,Yes,Auto,Yes,0
X31PMLCDMD,60,53301,7288,525,84,2,8.02,36,0.47,Bachelor's,Self-employed,Married,Yes,Yes,Auto,Yes,0
7GITGWG9W0,63,98759,239220,455,47,1,7.65,36,0.38,High School,Self-employed,Single,No,No,Business,Yes,0
M0XM1LXVV6,41,105311,230757,379,17,3,4.79,48,0.64,Master's,Full-time,Single,No,No,Home,No,0
ULCDXDTHCW,65,98466,167700,379,62,4,10.84,60,0.35,Bachelor's,Part-time,Married,Yes,No,Education,Yes,0
026XFPLTMU,59,21004,98587,774,16,2,11.01,12,0.76,Bachelor's,Full-time,Married,No,Yes,Business,No,0
UIHYND8L9S,65,50571,131160,557,3,3,16.12,60,0.58,High School,Part-time,Single,Yes,Yes,Other,Yes,0
A0ZXS96ZGZ,52,148755,6322,642,30,1,12.45,36,0.3,High School,Self-employed,Single,No,No,Business,No,0
P7PCOA8RSF,23,103297,13562,348,35,2,8.25,60,0.2,Bachelor's,Full-time,Divorced,No,Yes,Education,No,0
GW18PAF8CI,53,115291,21512,614,67,4,7.37,24,0.78,Master's,Full-time,Divorced,No,No,Auto,Yes,0
7SFTZFGK76,59,28880,188105,675,104,4,8.54,12,0.49,PhD,Self-employed,Single,Yes,No,Home,No,0
H9V79UUFOM,21,56359,199890,586,41,4,7.51,24,0.65,High School,Full-time,Married,No,Yes,Education,Yes,0
WWI494R8WS,50,102419,140401,355,61,2,14.17,24,0.59,High School,Part-time,Married,Yes,No,Business,No,0
1WQYS8EP33,37,129316,32037,453,24,1,11.63,48,0.61,Bachelor's,Full-time,Single,No,No,Business,No,0
UNMV7EUBUL,26,16524,59993,675,33,1,4.18,60,0.58,Bachelor's,Part-time,Single,No,No,Education,Yes,0
L9IISZPZ96,43,39246,188704,737,112,2,7.82,12,0.66,Bachelor's,Full-time,Divorced,No,No,Auto,No,0
5PUR24EP4Z,32,104949,215074,754,32,4,17.74,24,0.45,Master's,Part-time,Single,Yes,Yes,Other,Yes,0
H59DYPNP8E,68,38098,44955,665,26,2,10.25,48,0.16,Master's,Self-employed,Single,Yes,Yes,Other,No,0
TNLGLYW74J,58,96347,120359,414,19,4,20.45,12,0.33,Bachelor's,Part-time,Single,No,No,Business,Yes,0
VNNBKWC2S1,33,134616,108764,775,20,2,10.07,60,0.18,Master's,Full-time,Married,No,No,Other,No,0
EY3GHXNVPS,56,32364,206285,513,35,2,14.17,48,0.75,PhD,Full-time,Divorced,Yes,Yes,Education,No,0
V5DUUUP8H9,58,29574,77830,632,88,4,5.89,60,0.48,Bachelor's,Part-time,Married,Yes,No,Business,Yes,0
OZZATF0GU7,25,60724,199260,350,99,2,15.13,48,0.73,High School,Full-time,Divorced,Yes,No,Education,No,0
ZIFC6XKJ4P,44,142461,204584,506,95,1,22.73,12,0.74,Master's,Full-time,Married,No,No,Other,Yes,1
YE3DJKNCGY,40,36132,154781,619,116,3,7.2,12,0.47,High School,Unemployed,Married,No,No,Education,Yes,0
AYI6FCMRJ9,27,145625,148018,553,75,3,23.23,48,0.14,PhD,Part-time,Divorced,No,No,Education,No,0
EINJ9HQEXC,18,93720,172974,390,18,1,19.48,36,0.17,High School,Part-time,Married,Yes,No,Other,Yes,0
Q4RRJ7MYPK,43,109263,6241,376,2,3,10.31,60,0.29,Master's,Unemployed,Married,No,Yes,Business,No,0
SOUZ3VW174,66,55619,111929,727,26,3,20.36,36,0.61,PhD,Self-employed,Single,No,Yes,Business,No,0
C9FQJ9GLX3,37,144719,238735,658,5,2,18.85,60,0.1,Master's,Full-time,Divorced,Yes,No,Other,No,1
V6BEIOBRFM,63,26146,216244,760,55,1,24.68,60,0.25,Master's,Part-time,Single,No,No,Other,No,1
FUHVOMMM50,34,89003,92449,772,102,2,11.71,60,0.69,Bachelor's,Part-time,Single,Yes,Yes,Auto,Yes,0
PX9JYPQFQQ,26,134049,6626,374,0,3,16.13,12,0.23,PhD,Part-time,Single,No,No,Business,No,1
6XCVNX7UWR,22,104120,146944,611,111,3,16.44,48,0.16,PhD,Unemployed,Single,Yes,No,Business,No,0
46HE3JOKMF,68,53869,46723,510,71,3,17.96,12,0.33,Bachelor's,Self-employed,Married,Yes,No,Auto,No,0
F8EKVTPTN6,32,128224,45185,810,16,2,18.42,12,0.31,Bachelor's,Full-time,Single,No,No,Business,Yes,0
4LL34UE9G3,20,147546,147552,760,56,3,7.87,48,0.81,High School,Unemployed,Single,No,No,Home,No,0
9K0XYYHU31,48,82916,234690,506,51,2,11.53,48,0.52,Master's,Self-employed,Divorced,No,Yes,Home,No,0
4HZ3RTLSXP,63,26978,203038,689,2,2,5.6,60,0.24,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,0
6EF657L6IX,44,51458,217814,679,115,4,8.21,12,0.48,Bachelor's,Part-time,Divorced,No,No,Business,No,0
1R4JN5DC11,43,53806,85154,821,102,4,22.58,12,0.48,PhD,Full-time,Single,Yes,No,Other,No,0
QVYP4Z7YGG,29,126605,37522,580,74,2,14.02,12,0.3,PhD,Self-employed,Married,No,Yes,Home,Yes,0
7D1UP6Q3IR,62,138721,131765,810,13,2,19.87,60,0.71,PhD,Unemployed,Single,No,Yes,Education,Yes,0
JZJEDK9D4N,55,41240,94190,817,117,1,2.77,48,0.45,Bachelor's,Self-employed,Divorced,No,Yes,Auto,Yes,0
SDSQNBPZPF,59,81453,223686,717,36,3,10.45,12,0.77,PhD,Unemployed,Single,No,Yes,Other,Yes,0
29PGZ2LNMY,36,101908,152879,719,16,2,16.71,48,0.31,Master's,Full-time,Married,Yes,No,Business,Yes,0
5CVFRUO6R7,58,28516,141192,578,110,1,10.94,12,0.83,High School,Self-employed,Married,No,No,Home,No,0
3YO6XU3SI1,18,140820,239087,547,4,3,12.08,36,0.46,High School,Part-time,Married,No,No,Auto,No,1
1VF6ACUK85,32,119185,91289,622,17,1,20.4,24,0.7,PhD,Unemployed,Married,No,Yes,Home,Yes,0
X30R4FZVNB,25,147301,111174,654,86,1,17.75,60,0.43,Master's,Full-time,Single,No,Yes,Auto,No,1
4JH56DBXYS,21,128162,188218,344,9,1,9.79,36,0.33,Master's,Self-employed,Married,Yes,No,Auto,Yes,0
4F5CQ8L9DC,26,97495,94068,669,1,3,6.02,48,0.55,Bachelor's,Unemployed,Single,No,No,Education,No,0
B8M21ELYUM,37,89122,241343,786,109,3,21.71,12,0.58,Bachelor's,Unemployed,Married,Yes,No,Business,Yes,0
XU95YYV0EJ,57,86788,61713,476,108,1,6.68,60,0.72,High School,Unemployed,Single,Yes,No,Business,Yes,0
Z0LX1EJEM3,42,38037,69269,411,17,1,11.05,24,0.79,Bachelor's,Part-time,Divorced,Yes,No,Auto,Yes,0
CDWX4X3V69,48,145223,125525,493,41,1,13.94,36,0.89,Master's,Unemployed,Divorced,No,Yes,Other,Yes,0
OJ73AARMW7,53,141420,35480,573,77,1,13.21,36,0.21,Bachelor's,Full-time,Married,Yes,No,Education,Yes,0
0YY63L385E,66,84106,235589,505,97,2,17.38,12,0.71,PhD,Unemployed,Single,No,Yes,Other,No,0
I24J58J55D,62,114819,71864,775,4,3,21.46,60,0.14,Master's,Part-time,Divorced,No,Yes,Education,Yes,0
NSB1W1GRK6,41,104633,69913,748,34,2,14.67,24,0.8,Bachelor's,Part-time,Divorced,Yes,Yes,Home,Yes,0
RM6L7OOVIC,63,127270,154391,656,72,1,18.71,48,0.81,Bachelor's,Unemployed,Married,No,Yes,Other,Yes,0
R75MPKLYBJ,68,93032,142506,721,47,4,5.06,12,0.4,High School,Unemployed,Divorced,No,Yes,Business,Yes,0
QLGR9Y0BKF,67,118930,101508,814,51,2,8.88,60,0.29,Master's,Part-time,Married,No,Yes,Auto,Yes,0
7099HCMJ4F,55,79149,10556,831,73,4,24.98,48,0.32,Master's,Unemployed,Single,Yes,No,Other,Yes,0
GRJ5U0RAMK,62,54467,196148,650,6,1,21.38,36,0.31,High School,Full-time,Single,Yes,Yes,Business,Yes,0
X5JT1PWRI0,59,20637,189996,691,64,4,6.32,24,0.14,Bachelor's,Unemployed,Married,No,Yes,Education,Yes,0
W81PY4JQ8Y,45,60183,75344,443,108,2,21.51,12,0.15,PhD,Self-employed,Single,No,No,Other,No,0
R9VK6FQYWK,66,66633,34529,587,1,4,16.91,12,0.68,PhD,Self-employed,Divorced,No,Yes,Auto,Yes,1
BW4VMT43MH,18,50936,92111,579,52,4,14.64,12,0.33,Bachelor's,Self-employed,Married,Yes,Yes,Home,Yes,0
TBBX3Z9IKJ,55,114915,227006,420,35,2,16.27,12,0.15,Bachelor's,Self-employed,Single,No,No,Other,Yes,0
BWDXSY2DVC,39,20462,99241,732,46,3,19.43,12,0.53,Bachelor's,Part-time,Married,No,Yes,Home,No,0
9V0BRMZVFD,44,26090,244687,771,86,2,7.16,36,0.21,Master's,Self-employed,Divorced,Yes,Yes,Other,Yes,0
VQOKV27FVJ,27,22582,236699,516,99,2,10.38,24,0.84,Master's,Full-time,Single,No,No,Education,Yes,1
SCHETHJ3AU,20,130490,223648,774,64,1,4.46,24,0.57,High School,Self-employed,Divorced,No,Yes,Business,Yes,0
GYE5MWBAII,48,57346,249086,453,57,1,13.79,60,0.21,High School,Full-time,Single,No,No,Auto,Yes,0
5UYEXZXFVX,19,118298,50925,333,55,4,6.13,48,0.29,Bachelor's,Self-employed,Single,Yes,No,Auto,No,0
CEGSWYFEKI,53,105591,25467,394,36,2,22.49,12,0.74,Master's,Unemployed,Divorced,Yes,No,Other,No,0
F0NIB82WJL,41,17662,212457,402,36,3,17.91,12,0.78,Bachelor's,Self-employed,Married,No,Yes,Home,Yes,0
9WVTNFA0O0,38,107324,88751,481,95,3,15.49,48,0.22,Bachelor's,Part-time,Divorced,No,Yes,Auto,No,0
HZKJOZ91WX,64,67843,9353,675,34,1,6.66,36,0.5,Master's,Part-time,Married,No,No,Other,No,0
NN2T76JOK3,20,63645,60516,376,51,4,18.73,24,0.14,Master's,Part-time,Divorced,Yes,Yes,Home,Yes,0
AQGME26OWJ,65,18560,169351,376,46,4,23.89,48,0.79,Bachelor's,Part-time,Divorced,No,Yes,Home,No,0
WN2SRZZK7W,26,127337,154223,600,27,2,13.19,24,0.37,High School,Part-time,Divorced,No,Yes,Home,Yes,0
4WNGUWH1FG,64,47403,99645,391,25,1,12.2,48,0.34,Master's,Full-time,Divorced,Yes,Yes,Business,Yes,0
1XK1EDO75N,45,103389,51616,804,68,2,17.16,48,0.61,Bachelor's,Part-time,Divorced,Yes,Yes,Business,No,0
1D4JUOYGJV,35,69628,231600,730,59,1,19.32,12,0.87,Bachelor's,Unemployed,Single,Yes,No,Education,Yes,0
SYNLW26XB4,59,28727,151070,610,16,1,11.96,12,0.16,High School,Unemployed,Single,No,Yes,Business,Yes,0
B1W1R2XYUE,65,97229,48908,846,32,2,21.78,24,0.69,Bachelor's,Full-time,Divorced,No,Yes,Other,Yes,0
RI3CQT1Q2K,42,76369,35924,464,70,2,22.19,36,0.86,Master's,Self-employed,Married,Yes,No,Other,No,0
8ZWLV0I0NW,34,128194,159188,415,100,1,17.05,36,0.74,Master's,Part-time,Single,No,No,Business,Yes,0
XN4FHHAZS6,41,67212,220619,690,60,4,4.94,12,0.84,PhD,Unemployed,Divorced,No,No,Education,No,0
EKF0SVYGKD,55,60191,24621,661,6,1,13.78,12,0.43,High School,Full-time,Married,No,Yes,Auto,Yes,0
KWQPVM6DVN,66,85234,206165,422,103,3,19.96,12,0.34,Master's,Unemployed,Divorced,Yes,No,Home,Yes,1
HKO4C42WTP,29,85554,91138,713,8,2,6.46,12,0.22,Master's,Self-employed,Divorced,Yes,No,Auto,Yes,0
3AVED6VUDI,46,90535,34589,760,1,1,2.59,12,0.8,Bachelor's,Unemployed,Single,Yes,Yes,Education,Yes,0
QKZZAH8IIM,19,27215,169792,394,18,4,13.39,60,0.34,Bachelor's,Self-employed,Single,No,No,Business,No,1
HF30X9DVLF,37,138587,135888,305,48,4,11.22,60,0.24,PhD,Unemployed,Divorced,Yes,Yes,Other,No,0
YCOXXDEPIZ,51,108395,9442,830,60,3,11.66,60,0.89,Bachelor's,Unemployed,Single,No,No,Home,No,0
SIWP6BGD56,61,69515,79109,678,50,3,18.16,12,0.83,High School,Full-time,Divorced,No,No,Home,No,0
WE2VU94B5W,61,71900,9053,620,84,1,11.78,12,0.65,High School,Part-time,Married,No,No,Home,No,0
RMUHAADDBR,57,106426,101822,331,118,2,20.77,24,0.9,Master's,Self-employed,Married,No,Yes,Business,No,0
Q0758GHQ0X,20,111961,163558,794,17,4,8.17,60,0.67,Master's,Part-time,Divorced,Yes,No,Auto,No,0
P2KP1FQBWC,44,21486,211347,530,89,2,18.77,12,0.79,PhD,Part-time,Married,No,No,Education,Yes,0
V31JO1DDP1,44,34834,249812,679,37,3,4.94,60,0.18,High School,Self-employed,Divorced,No,No,Education,Yes,0
65MXXRMI1L,27,75347,76718,597,18,2,13.73,60,0.83,High School,Part-time,Single,Yes,No,Other,Yes,0
LLMZ8RUARO,30,88486,245724,731,94,4,9.28,48,0.2,PhD,Full-time,Divorced,Yes,Yes,Home,No,0
IXAE2344QV,55,147478,227986,682,5,4,4.77,48,0.42,Bachelor's,Unemployed,Divorced,Yes,No,Auto,No,0
S7O6YC3RG3,58,87246,185377,781,108,4,11.13,60,0.32,PhD,Unemployed,Divorced,Yes,No,Business,Yes,0
Q2N8MB42CI,65,148946,42124,368,15,1,8.0,36,0.56,Master's,Self-employed,Married,No,No,Business,Yes,0
6O1QT89ZRB,58,46801,90636,717,25,4,9.8,36,0.23,Master's,Full-time,Married,Yes,No,Education,No,0
FJYM7LICS5,68,15282,119256,622,57,1,6.26,24,0.37,PhD,Full-time,Divorced,No,Yes,Business,No,0
QBGLM7IWT2,21,24273,128956,802,99,1,10.94,12,0.19,PhD,Self-employed,Married,Yes,No,Other,Yes,0
ULOT8Y1C32,51,78337,231489,821,72,1,23.32,24,0.41,Bachelor's,Unemployed,Married,Yes,No,Other,No,1
HCWMSA9XFX,31,60728,193038,401,92,1,15.64,12,0.16,PhD,Self-employed,Married,No,No,Other,Yes,0
L9DOZVBJ93,46,95115,89388,385,72,1,14.74,24,0.4,PhD,Self-employed,Married,Yes,Yes,Auto,No,0
QPCNVZ1B58,61,46077,48584,588,14,4,17.59,24,0.44,High School,Full-time,Married,No,Yes,Business,Yes,0
A63ZYEVISL,23,125117,13991,612,93,4,11.64,48,0.36,High School,Part-time,Divorced,No,Yes,Business,Yes,0
1IWYSJKU7S,52,106956,85803,760,47,4,9.25,12,0.3,High School,Self-employed,Divorced,No,Yes,Home,No,0
2YVI403BE4,28,73300,93788,756,94,4,22.15,36,0.61,Master's,Self-employed,Married,Yes,Yes,Home,Yes,0
PVIDD2YXQN,62,18777,211305,786,6,4,23.28,48,0.51,Master's,Self-employed,Divorced,No,Yes,Other,Yes,0
NGY99I31PU,39,37302,28419,781,61,3,20.75,36,0.38,High School,Unemployed,Single,Yes,Yes,Other,No,0
IWTD670GLF,63,57531,9954,433,114,1,11.1,36,0.13,High School,Unemployed,Married,No,No,Other,Yes,0
XJKUU42PQD,62,104168,220070,388,62,1,16.75,12,0.48,High School,Unemployed,Single,Yes,Yes,Business,No,0
BJX6C1Q2OX,56,15160,20344,357,24,4,7.9,24,0.8,PhD,Self-employed,Single,No,Yes,Auto,No,0
C32T7LN5UW,21,100112,173911,318,46,1,9.04,60,0.3,PhD,Self-employed,Divorced,No,No,Business,No,0
YQQYSZIU0Q,46,147204,117638,636,61,4,15.68,24,0.17,PhD,Part-time,Single,No,No,Business,Yes,0
W44RVQAJUS,23,149555,36085,353,51,3,18.73,24,0.29,PhD,Full-time,Single,Yes,Yes,Other,No,0
M44JCWDHBM,65,97728,196901,710,91,4,22.56,36,0.3,Bachelor's,Part-time,Divorced,Yes,Yes,Education,Yes,0
BRBMS59C63,35,149488,244987,386,74,2,17.18,12,0.47,PhD,Self-employed,Single,Yes,No,Business,Yes,1
YLDMQXOTYW,48,141715,69602,415,100,1,23.83,60,0.79,Master's,Unemployed,Married,Yes,No,Other,Yes,0
WTIO4R0L26,33,110586,231742,760,83,2,13.48,12,0.72,High School,Unemployed,Single,Yes,Yes,Auto,Yes,0
86O5J5LG5D,54,63207,143604,804,86,4,7.93,36,0.43,PhD,Unemployed,Single,Yes,No,Business,No,0
56CTO7GRB1,58,31370,35584,832,62,3,9.34,48,0.22,PhD,Unemployed,Divorced,No,No,Education,No,0
4FM4RPFT35,45,54095,34835,770,94,4,15.15,24,0.8,High School,Full-time,Married,No,Yes,Education,No,0
OOI1Y77F7E,63,114182,182544,570,95,3,2.9,60,0.72,PhD,Full-time,Married,No,No,Auto,No,0
XD15SMF3XH,54,33983,101793,478,74,1,21.13,36,0.27,PhD,Unemployed,Divorced,Yes,Yes,Home,Yes,0
S0Y7PVILA2,64,103624,125452,599,54,2,4.82,24,0.5,Master's,Part-time,Married,No,No,Education,No,0
SNULXKWQQR,48,141826,142646,679,119,2,23.4,12,0.2,PhD,Self-employed,Married,No,Yes,Home,Yes,0
KS7FF6IE3W,40,113265,69383,469,52,4,6.61,12,0.84,High School,Part-time,Married,No,No,Other,No,0
FKIGVGZZ94,52,73377,109557,481,29,1,6.38,36,0.35,Master's,Part-time,Divorced,Yes,No,Other,Yes,0
89S3TLOAR7,43,47128,48560,727,51,2,16.31,24,0.5,High School,Part-time,Married,No,Yes,Home,Yes,0
1ABBTSI77S,32,78073,148043,456,0,2,17.19,60,0.74,Master's,Full-time,Married,No,No,Business,Yes,0
OZE2H0R42D,65,129448,174731,555,90,4,4.39,36,0.72,Bachelor's,Part-time,Divorced,Yes,Yes,Home,No,0
LWAHHDKSSL,34,24191,89861,715,77,1,5.76,12,0.79,Bachelor's,Full-time,Divorced,Yes,Yes,Auto,Yes,0
3U3XB5V1FJ,37,72193,156269,812,118,1,21.9,60,0.65,Master's,Self-employed,Single,Yes,No,Business,Yes,0
3NAJB3G68J,22,119024,109946,389,95,3,11.85,48,0.8,Bachelor's,Full-time,Married,No,No,Home,Yes,0
FDNCYLXTE5,32,134331,172723,401,112,3,22.61,12,0.26,High School,Full-time,Married,Yes,Yes,Auto,Yes,0
0ARKZ1QRQH,31,50518,158224,623,111,4,3.56,36,0.37,High School,Unemployed,Single,No,No,Business,Yes,0
9K6E59Y6XN,63,69613,136802,386,70,1,2.97,60,0.38,Master's,Unemployed,Single,No,Yes,Business,No,0
NQ9U2K39MM,37,97924,174955,819,19,4,15.76,12,0.62,Master's,Unemployed,Married,No,No,Education,Yes,0
ALUZD0H5YF,29,62268,133345,797,95,1,15.25,24,0.23,Bachelor's,Self-employed,Married,Yes,No,Auto,No,0
J60SJ3ZLAP,26,51141,74890,752,67,1,3.05,60,0.18,Bachelor's,Unemployed,Single,Yes,No,Home,No,0
S3R3FLY2I4,60,83953,39685,754,96,2,18.67,24,0.24,Master's,Unemployed,Divorced,Yes,No,Auto,Yes,0
S6CVH9AB42,32,43891,24083,833,54,2,8.44,36,0.47,High School,Part-time,Single,Yes,No,Auto,No,0
YPHSVOPBH7,40,36547,231963,753,1,3,19.8,60,0.39,Bachelor's,Part-time,Single,No,Yes,Auto,No,0
B2457CRVHW,38,78039,137664,513,58,4,16.67,24,0.58,Master's,Full-time,Married,No,No,Other,Yes,0
9TOZ4TZHQR,39,42659,119921,517,49,3,24.65,12,0.18,Bachelor's,Self-employed,Married,Yes,No,Auto,Yes,0
NW77SZ10JW,30,129344,245623,820,21,1,14.62,36,0.63,Bachelor's,Full-time,Divorced,No,Yes,Auto,No,0
RK0LYP7QK7,35,124863,241429,441,22,2,20.17,12,0.82,Master's,Unemployed,Single,Yes,No,Home,Yes,0
OM1T44R04Y,51,80650,73304,494,103,3,19.69,12,0.23,Master's,Full-time,Divorced,No,Yes,Auto,Yes,0
P90U29HYD1,67,108885,66385,528,15,4,8.49,60,0.55,High School,Part-time,Divorced,Yes,Yes,Home,Yes,0
VVTKWUS0WN,21,95568,27841,605,19,3,15.33,24,0.69,Master's,Full-time,Married,No,Yes,Business,Yes,0
MI4DUFSSTQ,27,146711,158107,545,71,3,17.19,24,0.36,Master's,Unemployed,Single,No,Yes,Auto,No,1
7UTMBZ13FP,39,119823,73405,329,51,4,16.15,12,0.54,Master's,Unemployed,Married,Yes,Yes,Business,Yes,0
XQ59ETFQFH,53,32782,138127,804,5,1,17.49,48,0.44,Bachelor's,Full-time,Divorced,No,Yes,Business,No,0
7PSR5QEHXR,50,23314,102168,422,100,3,8.53,12,0.29,Master's,Part-time,Divorced,Yes,No,Other,Yes,1
WNZPDXWB2C,18,97179,11335,428,54,4,17.91,12,0.73,Master's,Full-time,Married,No,Yes,Other,Yes,0
HQ48LF9BK0,57,112379,193176,603,51,4,16.86,24,0.33,PhD,Part-time,Divorced,No,No,Home,No,0
PYV2Q6CJMP,28,15069,203791,646,108,3,4.92,48,0.55,Master's,Self-employed,Divorced,Yes,No,Other,Yes,1
U070LKNVJ2,27,17764,180526,329,57,1,3.35,36,0.13,Master's,Full-time,Divorced,Yes,No,Home,No,1
C685VVVI6A,28,69303,73170,671,7,2,20.27,24,0.22,Bachelor's,Full-time,Married,Yes,Yes,Business,Yes,0
WTKLSJNEDV,57,120224,222583,707,42,3,23.85,48,0.54,High School,Unemployed,Single,No,No,Education,No,0
JL0UVMVYS1,44,125853,76864,341,44,2,10.99,36,0.77,Master's,Unemployed,Single,Yes,Yes,Business,Yes,0
9JRL343VKZ,39,96380,134094,627,20,2,13.77,60,0.71,PhD,Part-time,Divorced,Yes,Yes,Home,No,0
KNQ2G6CZ5T,44,83447,237946,371,39,2,16.4,36,0.18,High School,Full-time,Single,No,No,Other,No,0
348MVJEXZX,42,108549,107204,695,58,1,3.56,12,0.17,Bachelor's,Part-time,Married,No,Yes,Home,Yes,0
NR15SRKZOP,48,135562,5986,751,58,4,19.17,60,0.26,PhD,Self-employed,Divorced,Yes,Yes,Education,Yes,0
LB5YP7WTQX,66,103617,210251,791,5,2,3.37,60,0.33,Master's,Full-time,Single,No,No,Education,Yes,0
KDGZJPKNX1,35,142990,63311,476,92,1,21.4,12,0.64,PhD,Part-time,Married,Yes,Yes,Education,Yes,0
81YWTIKCQL,21,37960,233403,728,96,4,13.07,48,0.48,Master's,Unemployed,Divorced,Yes,Yes,Auto,No,0
81ZPYT2N6W,18,18614,152491,525,113,1,18.04,12,0.76,High School,Full-time,Divorced,Yes,Yes,Education,Yes,1
2JCRPUD5HI,47,71102,222559,639,67,2,16.74,24,0.68,Master's,Full-time,Married,Yes,Yes,Other,No,0
5CWB9L8AHT,19,81380,194927,513,69,1,15.51,12,0.8,Bachelor's,Part-time,Divorced,No,No,Home,No,0
J35VNSNJAG,25,26107,25690,639,37,3,16.97,12,0.53,Bachelor's,Self-employed,Married,No,Yes,Other,No,0
STCVUS5MQB,64,131269,241650,352,101,3,12.9,12,0.83,Master's,Part-time,Divorced,Yes,No,Auto,No,0
3SIQ59KPJ6,51,130670,169147,474,109,1,21.87,12,0.79,High School,Part-time,Single,No,No,Other,Yes,1
9PMMDWJHQF,25,148550,86948,452,111,4,16.79,36,0.43,PhD,Part-time,Divorced,Yes,No,Business,Yes,0
0N0Z5N3BS4,19,136118,70561,775,117,3,11.96,12,0.56,High School,Full-time,Divorced,No,No,Business,No,0
1CWS1M90HF,45,45706,158896,543,7,2,12.39,48,0.36,PhD,Self-employed,Single,No,Yes,Business,No,0
DR0I6OQ4UB,23,62825,248627,750,94,4,12.06,12,0.26,PhD,Full-time,Divorced,No,No,Other,No,0
Z2ELXV5FQ2,57,89487,15783,824,32,3,23.04,48,0.8,PhD,Unemployed,Divorced,Yes,Yes,Other,Yes,0
